2015-07-16T10:58:16.787+0300 | GoEuro: | INFO  | (GoEuroTest.java:46) | [main] | Response received [{_id=444422, key=null, name=Testico, fullName=Testico, Italy, iata_airport_code=null, type=location, country=Italy, geo_position={latitude=44.00563, longitude=8.02925}, locationId=144029, inEurope=true, countryCode=IT, coreCountry=true, distance=null}, {_id=418225, key=null, name=Testorf-Steinfort, fullName=Testorf-Steinfort, Germany, iata_airport_code=null, type=location, country=Germany, geo_position={latitude=53.78333, longitude=11.26667}, locationId=117399, inEurope=true, countryCode=DE, coreCountry=true, distance=null}, {_id=379534, key=null, name=La Teste-de-Buch, fullName=La Teste-de-Buch, France, iata_airport_code=null, type=location, country=France, geo_position={latitude=44.62875, longitude=-1.14059}, locationId=11721, inEurope=true, countryCode=FR, coreCountry=false, distance=null}] 
2015-07-16T10:59:49.610+0300 | GoEuro: | INFO  | (GoEuroTest.java:54) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:59:49.612+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T10:59:49.612+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:59:49.636+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T10:59:49.675+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T10:59:49.678+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T10:59:49.907+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@5dd23619 
2015-07-16T10:59:49.913+0300 | GoEuro: | INFO  | (HttpCommunication.java:141) | [main] | Response null 
2015-07-16T10:59:49.923+0300 | GoEuro: | INFO  | (HttpCommunication.java:146) | [main] | Response null 
2015-07-16T10:59:49.924+0300 | GoEuro: | INFO  | (HttpCommunication.java:149) | [main] | Response null 
2015-07-16T10:59:50.274+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:00:07.889+0300 | GoEuro: | INFO  | (GoEuroTest.java:54) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:00:07.891+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T11:00:07.892+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T11:00:07.919+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:00:07.961+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:00:07.964+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:00:08.232+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@38cb9502 
2015-07-16T11:00:08.460+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:00:49.839+0300 | GoEuro: | INFO  | (GoEuroTest.java:55) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:00:49.842+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T11:00:49.842+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T11:00:49.870+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:00:49.929+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:00:49.934+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:00:50.218+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@25693b9b 
2015-07-16T11:00:52.576+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:00:52.723+0300 | GoEuro: | INFO  | (GoEuroTest.java:46) | [main] | received response: 
2015-07-16T11:01:13.802+0300 | GoEuro: | INFO  | (GoEuroTest.java:55) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:01:13.804+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T11:01:13.804+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T11:01:13.829+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:01:13.867+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:01:13.871+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:01:14.102+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@1fc8504d 
2015-07-16T11:01:14.321+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:01:14.466+0300 | GoEuro: | INFO  | (GoEuroTest.java:46) | [main] | received response [{_id=444422, key=null, name=Testico, fullName=Testico, Italy, iata_airport_code=null, type=location, country=Italy, geo_position={latitude=44.00563, longitude=8.02925}, locationId=144029, inEurope=true, countryCode=IT, coreCountry=true, distance=null}, {_id=418225, key=null, name=Testorf-Steinfort, fullName=Testorf-Steinfort, Germany, iata_airport_code=null, type=location, country=Germany, geo_position={latitude=53.78333, longitude=11.26667}, locationId=117399, inEurope=true, countryCode=DE, coreCountry=true, distance=null}, {_id=379534, key=null, name=La Teste-de-Buch, fullName=La Teste-de-Buch, France, iata_airport_code=null, type=location, country=France, geo_position={latitude=44.62875, longitude=-1.14059}, locationId=11721, inEurope=true, countryCode=FR, coreCountry=false, distance=null}] 
2015-07-16T11:33:24.210+0300 | GoEuro: | INFO  | (GoEuroTest.java:55) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:33:24.213+0300 | GoEuro: | INFO  | (GoEuroTest.java:39) | [main] | Path param 1 
2015-07-16T11:33:24.213+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T11:33:24.241+0300 | GoEuro: | INFO  | (HttpCommunication.java:131) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test 1 {Content-Type=[application/json]} 
2015-07-16T11:33:24.292+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:33:24.295+0300 | GoEuro: | DEBUG | (HttpCommunication.java:133) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-16T11:33:24.566+0300 | GoEuro: | INFO  | (HttpCommunication.java:133) | [main] | Response org.jboss.resteasy.client.jaxrs.ResteasyClient@1fc8504d 
2015-07-16T11:33:24.976+0300 | GoEuro: | INFO  | (HttpValidator.java:57) | [main] | Validating the response that came... 
2015-07-16T11:33:25.131+0300 | GoEuro: | INFO  | (GoEuroTest.java:46) | [main] | received response {_id=444422, key=null, name=Testico, fullName=Testico, Italy, iata_airport_code=null, type=location, country=Italy, geo_position={latitude=44.00563, longitude=8.02925}, locationId=144029, inEurope=true, countryCode=IT, coreCountry=true, distance=null} 
2015-07-16T11:44:58.143+0300 | GoEuro: | INFO  | (GoEuroTest.java:57) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T11:44:58.145+0300 | GoEuro: | INFO  | (GoEuroTest.java:41) | [main] | Path param 1 
2015-07-16T11:44:58.145+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
